Hedge Fund,Stock,Symbol,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,Avg Price
Light Street Capital Management,Five9 inc,FIVN,616000,47099000,2.48,,20,616000,,new,0.99,Q1 2020,INFORMATION TECHNOLOGY,76.46
Light Street Capital Management,Microsoft corp.,MSFT,285900,45089000,2.37,4.53,21,-194350,-40.47,reduction,0.00,Q4 2017,INFORMATION TECHNOLOGY,109.11
Light Street Capital Management,Jd.com inc adr,JD,1027974,41633000,2.19,,22,1027974,,new,0.07,Q1 2020,CONSUMER DISCRETIONARY,40.50
Light Street Capital Management,Godaddy inc,GDDY,704700,40245000,2.12,,23,704700,,new,0.42,Q1 2020,COMMUNICATIONS,57.11
Light Street Capital Management,Cree inc.,CREE,1042700,36974000,1.95,,24,1042700,,new,0.96,Q1 2020,INFORMATION TECHNOLOGY,35.46
Light Street Capital Management,Ringcentral inc,RNG,170095,36045000,1.90,,25,170095,,new,0.20,Q1 2020,UTILITIES AND TELECOMMUNICATIONS,211.91
Light Street Capital Management,Tesla inc,TSLA,67830,35543000,1.87,,26,67830,,new,0.04,Q1 2020,CONSUMER DISCRETIONARY,524.00
Light Street Capital Management,Facebook inc,FB,208300,34744000,1.83,,27,208300,,new,0.01,Q1 2020,COMMUNICATIONS,166.80
Light Street Capital Management,Stoneco ltd,STNE,1582001,34440000,1.81,3.62,28,65200,4.30,addition,0.57,Q4 2018,FINANCE,35.01
Light Street Capital Management,Live nation entertainment inc,LYV,729743,33174000,1.75,,29,729743,,new,0.34,Q1 2020,COMMUNICATIONS,45.46
Light Street Capital Management,Vipshop holdings ltd adr,VIPS,2061892,32124000,1.69,,30,2061892,,new,0.31,Q1 2020,COMMUNICATIONS,15.58
Light Street Capital Management,Norwegian cruise line holdings ltd,NCLH,2827700,30992000,1.63,,31,2827700,,new,1.32,Q1 2020,CONSUMER DISCRETIONARY,10.96
Light Street Capital Management,Visa inc,V,182600,29421000,1.55,1.15,32,80500,78.84,addition,0.01,Q3 2019,FINANCE,167.21
Light Street Capital Management,Royal caribbean cruises ltd,RCL,897400,28869000,1.52,,33,897400,,new,0.43,Q1 2020,CONSUMER DISCRETIONARY,32.17
Light Street Capital Management,The stars group,TSG,1254135,25609000,1.35,,34,1254135,,new,0.43,Q1 2020,INFORMATION TECHNOLOGY,20.42
Light Street Capital Management,Regeneron pharmaceuticals inc.,REGN,52100,25440000,1.34,,35,52100,,new,0.05,Q1 2020,HEALTH CARE,488.29
Light Street Capital Management,Carnival corp.,CCL,1923170,25328000,1.33,,36,1923170,,new,0.25,Q1 2020,CONSUMER DISCRETIONARY,13.17
Light Street Capital Management,Talend sa adr,TLND,1060859,23795000,1.25,3.03,37,-234259,-18.09,reduction,3.39,Q3 2019,INFORMATION TECHNOLOGY,36.17
Light Street Capital Management,Tal education group american depositary adr,TAL,436400,23243000,1.22,,38,436400,,new,0.07,Q1 2020,CONSUMER DISCRETIONARY,53.26
Light Street Capital Management,So-young international inc,SY,1823301,18671000,0.98,1.73,39,-549357,-23.15,reduction,1.72,Q2 2019,COMMUNICATIONS,13.56
Light Street Capital Management,Mimecast ltd,MIME,417096,14723000,0.77,,40,417096,,new,0.67,Q1 2020,INFORMATION TECHNOLOGY,35.30
Light Street Capital Management,Workday inc,WDAY,103950,13536000,0.71,,41,103950,,new,0.04,Q1 2020,COMMUNICATIONS,130.22
Light Street Capital Management,Ncr corp.,NCR,725192,12836000,0.68,,42,725192,,new,0.56,Q1 2020,INFORMATION TECHNOLOGY,17.70
Light Street Capital Management,Gridsum holding inc adr,GSUM,2723714,1852000,0.10,0.21,43,-146051,-5.09,reduction,7.89,Q1 2018,INFORMATION TECHNOLOGY,7.20
Light Street Capital Management,Mastercard inc,MA,5900,1425000,0.08,,44,5900,,new,0.00,Q3 2019,FINANCE,241.56
Light Street Capital Management,Pinterest inc,PINS,81940,1265000,0.07,5.63,45,-4964492,-98.38,reduction,0.01,Q2 2019,COMMUNICATIONS,21.01
Lone Pine Capital ,Alibaba group holding ltd adr,BABA,6336587,1232339000,7.31,7.02,1,96801,1.55,addition,0.24,Q3 2016,COMMUNICATIONS,139.80
Lone Pine Capital ,Unitedhealth group inc.,UNH,4613971,1150632000,6.83,6.61,2,370917,8.74,addition,0.49,Q2 2017,HEALTH CARE,210.89
Lone Pine Capital ,Amazon.com inc.,AMZN,582971,1136630000,6.75,5.05,3,67467,13.09,addition,0.12,Q4 2017,CONSUMER DISCRETIONARY,1501.78
Lone Pine Capital ,Microsoft corp.,MSFT,5923926,934262000,5.54,4.24,4,854877,16.86,addition,0.08,Q4 2013,INFORMATION TECHNOLOGY,89.97
Lone Pine Capital ,Netflix inc,NFLX,2411338,905457000,5.37,4.28,5,-81789,-3.28,reduction,0.55,Q3 2019,COMMUNICATIONS,270.72
Lone Pine Capital ,Adobe systems  inc.,ADBE,2653450,844434000,5.01,4.98,6,-193847,-6.81,reduction,0.55,Q1 2014,INFORMATION TECHNOLOGY,137.05
Lone Pine Capital ,Global payments inc.,GPN,4954572,714598000,4.24,3.14,7,1709354,52.67,addition,1.65,Q3 2019,INFORMATION TECHNOLOGY,153.90
Lone Pine Capital ,Shopify inc,SHOP,1670133,696329000,4.13,3.82,8,-142519,-7.86,reduction,1.59,Q1 2019,COMMUNICATIONS,321.67
Lone Pine Capital ,Humana  inc.,HUM,2164071,679562000,4.03,2.86,9,691296,46.94,addition,1.64,Q3 2019,HEALTH CARE,274.31
Lone Pine Capital ,Autodesk  inc.,ADSK,4023409,628054000,3.73,3.20,10,735213,22.36,addition,1.83,Q4 2018,INFORMATION TECHNOLOGY,138.84
Lone Pine Capital ,Facebook inc,FB,3532011,589139000,3.50,3.73,11,106113,3.10,addition,0.12,Q3 2014,COMMUNICATIONS,162.40
Lone Pine Capital ,Mastercard inc,MA,2311471,558359000,3.31,3.78,12,-74625,-3.13,reduction,0.23,Q4 2018,FINANCE,224.54
Lone Pine Capital ,Visa inc,V,3329975,536526000,3.18,,13,3329975,,new,0.15,Q1 2020,FINANCE,161.12
Lone Pine Capital ,Paypal holdings inc,PYPL,5265480,504117000,2.99,1.93,14,1901160,56.51,addition,0.45,Q4 2019,COMMUNICATIONS,103.68
Lone Pine Capital ,Canadian pacific railway ltd. (2001),CP,2279058,500458000,2.97,2.53,15,408973,21.87,addition,1.67,Q2 2018,TRANSPORTS,195.89
Lone Pine Capital ,Match group inc,MTCH,6845734,452092000,2.68,1.32,16,3808603,125.40,addition,2.42,Q4 2019,COMMUNICATIONS,73.17
Lone Pine Capital ,Ipath series b s&p 500 vix short-term fu,VXX,9000000,416250000,2.47,,17,9000000,,new,No Data,Q1 2020,FINANCE,
Lone Pine Capital ,Servicenow inc,NOW,1368688,392239000,2.33,2.31,18,-173801,-11.27,reduction,0.72,Q2 2017,INFORMATION TECHNOLOGY,151.37
Lone Pine Capital ,Equifax inc.,EFX,3171575,378845000,2.25,2.56,19,-276738,-8.03,reduction,2.61,Q3 2019,INDUSTRIALS,140.61
Lone Pine Capital ,Luckin coffee inc,LK,13522973,367690000,2.18,1.27,20,7455616,122.88,addition,5.34,Q4 2019,CONSUMER STAPLES,32.65
Lone Pine Capital ,Square inc,SQ,6698049,350844000,2.08,2.92,21,-2100577,-23.87,reduction,1.52,Q1 2019,FINANCE,66.02
Lone Pine Capital ,Howmet aerospace,HWM,20660173,331802000,1.97,,22,20660173,,new,4.74,Q1 2020,INDUSTRIALS,16.06
Lone Pine Capital ,L brands inc,LB,26265094,303624000,1.80,,23,26265094,,new,9.50,Q1 2020,CONSUMER DISCRETIONARY,11.56
Lone Pine Capital ,Coupa software inc,COUP,2124340,296834000,1.76,1.81,24,-212472,-9.09,reduction,3.19,Q2 2019,INFORMATION TECHNOLOGY,135.46
Lone Pine Capital ,Carvana co,CVNA,5100175,280969000,1.67,0.49,25,4097265,408.54,addition,3.09,Q4 2019,CONSUMER DISCRETIONARY,62.36
Lone Pine Capital ,Transdigm group inc,TDG,775953,248452000,1.47,3.72,26,-478475,-38.14,reduction,1.45,Q4 2017,INDUSTRIALS,302.55
Lone Pine Capital ,Hilton worldwide holdings inc,HLT,2952652,201489000,1.20,,27,2952652,,new,1.07,Q1 2020,CONSUMER DISCRETIONARY,68.24
Lone Pine Capital ,Atlassian corp plc,TEAM,1388586,190597000,1.13,1.79,28,-1411174,-50.40,reduction,0.57,Q2 2019,INFORMATION TECHNOLOGY,124.20
Lone Pine Capital ,Ceridian hcm holding inc,CDAY,3244680,162461000,0.96,,29,3244680,,new,2.28,Q1 2020,INFORMATION TECHNOLOGY,50.07
Lone Pine Capital ,Under armour inc,UAA,17431613,160545000,0.95,1.03,30,8452056,94.13,addition,3.86,Q4 2019,CONSUMER DISCRETIONARY,15.59
Lone Pine Capital ,Iac/interactivecorp,IAC,812017,145538000,0.86,0.53,31,414278,104.16,addition,0.96,Q4 2019,CONSUMER DISCRETIONARY,213.46
Lone Pine Capital ,Live nation entertainment inc,LYV,3046095,138475000,0.82,,32,3046095,,new,1.42,Q1 2020,COMMUNICATIONS,45.46
Lone Pine Capital ,Hubspot inc,HUBS,776490,103421000,0.61,0.19,33,550843,244.12,addition,1.78,Q4 2019,INFORMATION TECHNOLOGY,140.55
Lone Pine Capital ,Cadence design systems  inc.,CDNS,1288594,85099000,0.51,,34,1288594,,new,0.46,Q1 2020,INFORMATION TECHNOLOGY,66.04
Lone Pine Capital ,Under armour inc cl c,UA,9890481,79717000,0.47,,35,9890481,,new,2.19,Q1 2020,CONSUMER DISCRETIONARY,8.06
Lone Pine Capital ,Anaplan inc,PLAN,2200000,66572000,0.40,,36,2200000,,new,1.61,Q1 2020,INFORMATION TECHNOLOGY,30.26
Lone Pine Capital ,Chewy inc,CHWY,1299749,48728000,0.29,0.78,37,-3771782,-74.37,reduction,0.32,Q2 2019,CONSUMER DISCRETIONARY,31.35
Lone Pine Capital ,Medallia inc,MDLA,1853183,37138000,0.22,0.12,38,1115590,151.25,addition,1.34,Q3 2019,INFORMATION TECHNOLOGY,22.98
Lone Pine Capital ,Sea ltd adr,SE,27000,1196000,0.01,1.31,39,-6138422,-99.56,reduction,0.01,Q4 2017,INFORMATION TECHNOLOGY,19.15
Tiger Global Management,Jd.com inc adr,JD,50650366,2051340000,12.35,10.27,1,-2200000,-4.16,reduction,3.45,Q4 2014,CONSUMER DISCRETIONARY,29.17
Tiger Global Management,Microsoft corp.,MSFT,10793784,1702288000,10.25,9.47,2,-89316,-0.82,reduction,0.14,Q4 2016,INFORMATION TECHNOLOGY,82.32
Tiger Global Management,Facebook inc,FB,8750500,1459583000,8.79,9.42,3,431000,5.18,addition,0.31,Q4 2016,COMMUNICATIONS,165.55
Tiger Global Management,Apollo glbl management llc,APO,33913500,1136102000,6.84,9.92,4,-3750000,-9.96,reduction,14.68,Q1 2017,FINANCE,25.13
Tiger Global Management,Amazon.com inc.,AMZN,552320,1076869000,6.48,6.24,5,-59720,-9.76,reduction,0.11,Q2 2015,CONSUMER DISCRETIONARY,694.13
Tiger Global Management,Alibaba group holding ltd adr,BABA,4491662,873538000,5.26,4.11,6,976000,27.76,addition,0.17,Q3 2016,COMMUNICATIONS,159.65
Tiger Global Management,Ringcentral inc,RNG,3326370,704891000,4.24,3.07,7,29170,0.88,addition,3.82,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,114.26
Tiger Global Management,Netflix inc,NFLX,1551000,582401000,3.51,2.77,8,0,0.00,,0.35,Q1 2017,COMMUNICATIONS,248.52
Tiger Global Management,Transdigm group inc,TDG,1757245,562652000,3.39,6.38,9,-308755,-14.94,reduction,3.27,Q4 2016,INDUSTRIALS,269.66
Tiger Global Management,Sea ltd adr,SE,8359235,370398000,2.23,1.86,10,0,0.00,,1.79,Q1 2018,INFORMATION TECHNOLOGY,14.66
Tiger Global Management,Spotify technology sa,SPOT,2738480,332561000,2.00,2.87,11,-741722,-21.31,reduction,1.49,Q2 2018,COMMUNICATIONS,168.23
Tiger Global Management,Gds holdings ltd adr,GDS,5730659,332206000,2.00,1.63,12,0,0.00,,3.77,Q2 2019,COMMUNICATIONS,37.57
Tiger Global Management,Carvana co,CVNA,6012907,331251000,1.99,2.50,13,1100000,22.39,addition,3.64,Q1 2019,CONSUMER DISCRETIONARY,60.85
Tiger Global Management,Tal education group american depositary adr,TAL,5762873,306931000,1.85,1.53,14,0,0.00,,0.97,Q4 2015,CONSUMER DISCRETIONARY,15.42
Tiger Global Management,Workday inc,WDAY,2318000,301850000,1.82,0.25,15,2040000,733.81,addition,0.99,Q3 2019,COMMUNICATIONS,134.63
Tiger Global Management,Sunrun inc,RUN,29773257,300710000,1.81,2.27,16,0,0.00,,24.78,Q1 2018,ENERGY,13.57
Tiger Global Management,Uber technologies inc,UBER,9974716,278494000,1.68,3.55,17,-11640071,-53.85,reduction,0.58,Q2 2019,CONSUMER DISCRETIONARY,34.87
Tiger Global Management,Mongodb inc,MDB,1911300,260969000,1.57,1.39,18,0,0.00,,3.32,Q4 2017,INFORMATION TECHNOLOGY,132.50
Tiger Global Management,Fleetcor technologies inc,FLT,1295325,241630000,1.45,2.74,19,-431775,-25.00,reduction,1.52,Q4 2012,INFORMATION TECHNOLOGY,151.05
Tiger Global Management,New oriental education & tech group inc adr,EDU,2141500,231796000,1.40,0.96,20,700659,48.63,addition,1.35,Q4 2016,CONSUMER DISCRETIONARY,75.30
Tiger Global Management,Elastic nv,ESTC,4019843,224347000,1.35,1.43,21,0,0.00,,4.92,Q4 2018,INFORMATION TECHNOLOGY,65.62
Tiger Global Management,Paypal holdings inc,PYPL,2320000,222117000,1.34,1.46,22,-128000,-5.23,reduction,0.20,Q4 2019,COMMUNICATIONS,108.17
Tiger Global Management,Pinduoduo inc,PDD,5935004,213838000,1.29,1.24,23,0,0.00,,0.50,Q3 2018,CONSUMER DISCRETIONARY,34.68
Tiger Global Management,Atlassian corp plc,TEAM,1510000,207263000,1.25,1.00,24,0,0.00,,0.62,Q4 2015,INFORMATION TECHNOLOGY,90.88
Tiger Global Management,Anaplan inc,PLAN,6800903,205795000,1.24,0.63,25,4608503,210.20,addition,4.97,Q3 2019,INFORMATION TECHNOLOGY,36.44
Tiger Global Management,Athene holding ltd class a,ATH,7464626,185272000,1.12,,26,7464626,,new,3.84,Q1 2020,FINANCE,24.82
Tiger Global Management,Zoom video communications inc,ZM,1226600,179231000,1.08,0.46,27,0,0.00,,0.44,Q2 2019,INFORMATION TECHNOLOGY,88.34
Tiger Global Management,Mastercard inc,MA,728500,175976000,1.06,1.03,28,102500,16.37,addition,0.07,Q4 2007,FINANCE,105.11
Tiger Global Management,Smartsheet inc,SMAR,4145400,172076000,1.04,1.17,29,-560300,-11.91,reduction,3.49,Q1 2019,INFORMATION TECHNOLOGY,42.13
Tiger Global Management,Twilio inc,TWLO,1906000,170568000,1.03,1.03,30,0,0.00,,1.36,Q3 2018,INFORMATION TECHNOLOGY,115.88
Tiger Global Management,Salesforce.com inc.,CRM,1132104,163000000,0.98,0.66,31,393104,53.19,addition,0.13,Q4 2017,INFORMATION TECHNOLOGY,124.74
Tiger Global Management,Servicenow inc,NOW,557700,159826000,0.96,0.87,32,0,0.00,,0.29,Q3 2017,INFORMATION TECHNOLOGY,163.22
Tiger Global Management,Datadog inc,DDOG,3680572,132427000,0.80,0.09,33,3230572,717.90,addition,1.23,Q3 2019,INFORMATION TECHNOLOGY,35.73
Tiger Global Management,Peloton interactive inc,PTON,4153304,110270000,0.66,,34,4153304,,new,1.48,Q1 2020,CONSUMER DISCRETIONARY,26.55
Tiger Global Management,8x8 inc,EGHT,4950000,68607000,0.41,0.50,35,0,0.00,,4.83,Q1 2019,INFORMATION TECHNOLOGY,20.12
Tiger Global Management,New relic inc,NEWR,1346000,62239000,0.37,0.49,36,0,0.00,,2.27,Q3 2019,INFORMATION TECHNOLOGY,61.45
Tiger Global Management,Adobe systems  inc.,ADBE,169000,53783000,0.32,0.27,37,20000,13.42,addition,0.04,Q2 2018,INFORMATION TECHNOLOGY,250.24
Tiger Global Management,Despegar.com corp,DESP,9256550,52485000,0.32,0.69,38,0,0.00,,13.29,Q3 2017,COMMUNICATIONS,32.00
Tiger Global Management,Zendesk inc,ZEN,714000,45703000,0.28,0.50,39,-466000,-39.49,reduction,0.63,Q3 2018,INFORMATION TECHNOLOGY,69.60
Tiger Global Management,Alphabet inc. class a,GOOGL,30500,35439000,0.21,0.79,40,-75860,-71.32,reduction,0.00,Q4 2019,COMMUNICATIONS,1339.39
Tiger Global Management,Svmk inc,SVMK,2298995,31059000,0.19,0.23,41,0,0.00,,1.67,Q3 2018,INFORMATION TECHNOLOGY,16.03
Tiger Global Management,Chewy inc,CHWY,800000,29992000,0.18,0.13,42,0,0.00,,0.20,Q2 2019,CONSUMER DISCRETIONARY,35.00
Tiger Global Management,Shopify inc,SHOP,70000,29185000,0.18,0.15,43,0,0.00,,0.07,Q2 2015,COMMUNICATIONS,33.95
Tiger Global Management,Docusign inc,DOCU,300000,27720000,0.17,0.12,44,0,0.00,,0.16,Q2 2018,INFORMATION TECHNOLOGY,52.95
Tiger Global Management,Tencent music entertainment group,TME,2700000,27162000,0.16,0.17,45,0,0.00,,0.16,Q4 2018,INFORMATION TECHNOLOGY,13.22
Tiger Global Management,Visa inc,V,163000,26263000,0.16,0.17,46,0,0.00,,0.01,Q3 2016,FINANCE,80.48
Tiger Global Management,Iqiyi inc,IQ,1000000,17800000,0.11,0.12,47,0,0.00,,0.14,Q1 2018,COMMUNICATIONS,15.55
Tiger Global Management,Stoneco ltd,STNE,768803,16737000,0.10,0.17,48,-273,-0.04,reduction,0.28,Q4 2018,FINANCE,18.44
Tiger Global Management,Phoenix tree holdings ltd. ads,DNK,1850000,15929000,0.10,,49,1850000,,new,N/A,Q1 2020,REAL ESTATE,8.61
Tiger Global Management,Crowdstrike holdings inc,CRWD,250000,13920000,0.08,0.07,50,0,0.00,,0.12,Q2 2019,INFORMATION TECHNOLOGY,68.29
Tiger Global Management,Dynatrace inc,DT,500000,11920000,0.07,0.07,51,0,0.00,,0.18,Q3 2019,INFORMATION TECHNOLOGY,18.67
Tiger Global Management,Linx sa,LINX,3350000,10854000,0.07,0.16,52,0,0.00,,1.89,Q2 2019,INFORMATION TECHNOLOGY,9.12
Tiger Global Management,Ceridian hcm holding inc,CDAY,170000,8512000,0.05,0.06,53,0,0.00,,0.12,Q2 2018,INFORMATION TECHNOLOGY,33.19
Tiger Global Management,Avalara inc,AVLR,100000,7460000,0.04,0.04,54,0,0.00,,0.13,Q2 2018,INFORMATION TECHNOLOGY,53.37
Tiger Global Management,Livongo health inc,LVGO,250000,7133000,0.04,0.03,55,0,0.00,,0.26,Q3 2019,HEALTH CARE,17.44
Tiger Global Management,Huya inc,HUYA,362000,6136000,0.04,0.04,56,0,0.00,,0.16,Q2 2018,INFORMATION TECHNOLOGY,32.89
Tiger Global Management,Cardlytics inc,CDLX,124940,4368000,0.03,0.16,57,-330160,-72.55,reduction,0.46,Q4 2019,INFORMATION TECHNOLOGY,62.86
Tiger Global Management,Cloudflare inc,NET,175000,4109000,0.02,0.02,58,0,0.00,,0.06,Q3 2019,INFORMATION TECHNOLOGY,18.57
Tiger Global Management,Farfetch ltd,FTCH,500000,3950000,0.02,0.03,59,0,0.00,,0.15,Q3 2018,CONSUMER DISCRETIONARY,27.23
Tiger Global Management,Xp inc.,XP,200000,3858000,0.02,0.04,60,0,0.00,,0.04,Q4 2019,FINANCE,38.52
Tiger Global Management,Dropbox inc,DBX,200000,3620000,0.02,0.02,61,0,0.00,,0.05,Q1 2018,INFORMATION TECHNOLOGY,31.25
Tiger Global Management,Tenable holdings inc,TENB,150000,3279000,0.02,0.02,62,0,0.00,,0.15,Q3 2018,INFORMATION TECHNOLOGY,38.88
Tiger Global Management,Solarwinds corp,SWI,200000,3134000,0.02,0.02,63,0,0.00,,0.06,Q4 2018,INFORMATION TECHNOLOGY,13.83
Tiger Global Management,Bill.com holdings  inc.,BILL,80000,2736000,0.02,0.02,64,0,0.00,,0.11,Q4 2019,INFORMATION TECHNOLOGY,38.05
Tiger Global Management,Pagerduty inc,PD,150000,2592000,0.02,0.02,65,0,0.00,,0.19,Q2 2019,INFORMATION TECHNOLOGY,47.05
Tiger Global Management,Douyu international holdings ltd,DOYU,400000,2564000,0.02,0.02,66,0,0.00,,0.12,Q3 2019,INFORMATION TECHNOLOGY,8.19
Tiger Global Management,Bilibili inc,BILI,100000,2342000,0.01,0.01,67,0,0.00,,0.03,Q1 2018,COMMUNICATIONS,11.01
Tiger Global Management,Onesmart international education group ltd,ONE,320000,1632000,0.01,0.01,68,0,0.00,,0.20,Q1 2018,CONSUMER DISCRETIONARY,10.75
Tiger Global Management,Health catalyst inc,HCAT,50000,1308000,0.01,0.01,69,0,0.00,,0.13,Q3 2019,INFORMATION TECHNOLOGY,31.64
Tiger Global Management,Medallia inc,MDLA,50000,1002000,0.01,0.01,70,0,0.00,,0.04,Q3 2019,INFORMATION TECHNOLOGY,27.43
Tiger Global Management,Redfin corp,RDFN,45273,698000,0.00,0.01,71,0,0.00,,0.05,Q3 2017,REAL ESTATE,25.09
Tiger Global Management,Sunlands online education group,STG,300000,411000,0.00,0.00,72,0,0.00,,0.18,Q1 2018,CONSUMER DISCRETIONARY,8.30
Tiger Global Management,J.c. penney company inc.,JCP,850000,306000,0.00,0.01,73,0,0.00,,0.26,Q2 2017,CONSUMER DISCRETIONARY,4.65
Tiger Global Management,Farmland partners inc,FPI,44502,270000,0.00,0.00,74,0,0.00,,0.12,Q1 2017,REAL ESTATE,11.17
Whale Rock Capital Management,Amazon.com inc.,AMZN,286490,558575000,7.61,5.27,1,118500,70.54,addition,0.06,Q1 2015,CONSUMER DISCRETIONARY,1469.35
Whale Rock Capital Management,Microsoft corp.,MSFT,3233699,509987000,6.95,6.12,2,949362,41.56,addition,0.04,Q4 2017,INFORMATION TECHNOLOGY,155.05
Whale Rock Capital Management,Tesla inc,TSLA,604748,316888000,4.32,2.34,3,275769,83.83,addition,0.33,Q4 2019,CONSUMER DISCRETIONARY,466.52
Whale Rock Capital Management,Shopify inc,SHOP,754458,314556000,4.29,4.76,4,49374,7.00,addition,0.72,Q4 2015,COMMUNICATIONS,87.46
Whale Rock Capital Management,Zoom video communications inc,ZM,2061352,301205000,4.11,,5,2061352,,new,0.74,Q2 2019,INFORMATION TECHNOLOGY,146.12
Whale Rock Capital Management,Fortinet inc,FTNT,2906095,294010000,4.01,3.57,6,936677,47.56,addition,1.68,Q4 2019,INFORMATION TECHNOLOGY,104.96
Whale Rock Capital Management,Servicenow inc,NOW,827034,237011000,3.23,3.78,7,37527,4.75,addition,0.44,Q3 2018,INFORMATION TECHNOLOGY,251.59
Whale Rock Capital Management,Datadog inc,DDOG,6479221,233122000,3.18,1.95,8,3442267,113.35,addition,2.17,Q3 2019,INFORMATION TECHNOLOGY,36.38
Whale Rock Capital Management,Smartsheet inc,SMAR,5611098,232917000,3.17,4.26,9,18182,0.33,addition,4.72,Q3 2018,INFORMATION TECHNOLOGY,36.60
Whale Rock Capital Management,Okta inc,OKTA,1867376,228305000,3.11,3.66,10,-1451,-0.08,reduction,1.52,Q3 2018,INFORMATION TECHNOLOGY,70.36
Whale Rock Capital Management,Coupa software inc,COUP,1394241,194817000,2.66,7.79,11,-1744931,-55.59,reduction,2.09,Q1 2018,INFORMATION TECHNOLOGY,60.90
Whale Rock Capital Management,Alphabet inc. class a,GOOGL,163132,189551000,2.58,3.28,12,18857,13.07,addition,0.02,Q3 2011,COMMUNICATIONS,983.97
Whale Rock Capital Management,Crowdstrike holdings inc,CRWD,3211084,178793000,2.44,0.84,13,2216592,222.89,addition,1.51,Q2 2019,INFORMATION TECHNOLOGY,58.50
Whale Rock Capital Management,Zendesk inc,ZEN,2772234,177451000,2.42,3.50,14,79973,2.97,addition,2.43,Q2 2014,INFORMATION TECHNOLOGY,39.16
Whale Rock Capital Management,Docusign inc,DOCU,1849972,170937000,2.33,,15,1849972,,new,1.01,Q1 2020,INFORMATION TECHNOLOGY,92.40
Whale Rock Capital Management,Mongodb inc,MDB,1181017,161256000,2.20,2.64,16,-803,-0.07,reduction,2.05,Q1 2018,INFORMATION TECHNOLOGY,48.72
Whale Rock Capital Management,Avalara inc,AVLR,2144177,159956000,2.18,2.57,17,79860,3.87,addition,2.75,Q2 2019,INFORMATION TECHNOLOGY,72.10
Whale Rock Capital Management,Jd.com inc adr,JD,3595521,145619000,1.98,,18,3595521,,new,0.24,Q1 2020,CONSUMER DISCRETIONARY,40.50
Whale Rock Capital Management,Walt disney co. (the),DIS,1457014,140748000,1.92,4.06,19,-197265,-11.92,reduction,0.08,Q4 2019,COMMUNICATIONS,144.63
Whale Rock Capital Management,Alibaba group holding ltd adr,BABA,723030,140615000,1.92,3.13,20,-146346,-16.83,reduction,0.03,Q4 2015,COMMUNICATIONS,177.53
Whale Rock Capital Management,Intel corp.,INTC,2464327,133369000,1.82,,21,2464327,,new,0.06,Q1 2020,INFORMATION TECHNOLOGY,54.12
Whale Rock Capital Management,Facebook inc,FB,777405,129671000,1.77,3.86,22,-331507,-29.89,reduction,0.03,Q1 2015,COMMUNICATIONS,141.98
Whale Rock Capital Management,Micron technology  inc.,MU,3071459,129186000,1.76,,23,3071459,,new,0.28,Q1 2020,INFORMATION TECHNOLOGY,42.06
Whale Rock Capital Management,Mimecast ltd,MIME,3538667,124915000,1.70,2.61,24,-2290,-0.06,reduction,5.66,Q1 2018,INFORMATION TECHNOLOGY,42.06
Whale Rock Capital Management,Alteryx inc,AYX,1286355,122422000,1.67,2.14,25,26190,2.08,addition,1.96,Q1 2018,INFORMATION TECHNOLOGY,96.56
Whale Rock Capital Management,Zscaler inc,ZS,2007788,122194000,1.67,,26,2007788,,new,1.55,Q1 2020,INFORMATION TECHNOLOGY,60.86
Whale Rock Capital Management,Lam research corp.,LRCX,502846,120683000,1.64,,27,502846,,new,0.35,Q1 2020,INFORMATION TECHNOLOGY,240.00
Whale Rock Capital Management,Ceridian hcm holding inc,CDAY,2377276,119030000,1.62,3.02,28,-239545,-9.15,reduction,1.67,Q2 2018,INFORMATION TECHNOLOGY,40.02
Whale Rock Capital Management,Activision blizzard inc,ATVI,1974972,117471000,1.60,,29,1974972,,new,0.26,Q1 2020,INFORMATION TECHNOLOGY,59.48
Whale Rock Capital Management,Nvidia corp.,NVDA,441595,116404000,1.59,,30,441595,,new,0.07,Q1 2020,INFORMATION TECHNOLOGY,263.60
Whale Rock Capital Management,Carvana co,CVNA,1983209,109255000,1.49,3.23,31,-80802,-3.91,reduction,1.20,Q2 2018,CONSUMER DISCRETIONARY,56.23
Whale Rock Capital Management,Taiwan semiconductor manufacturing co ltd adr,TSM,2272727,108614000,1.48,2.60,32,-359896,-13.67,reduction,0.04,Q4 2019,INFORMATION TECHNOLOGY,58.10
Whale Rock Capital Management,Apple inc,AAPL,412184,104814000,1.43,,33,412184,,new,0.01,Q1 2020,INFORMATION TECHNOLOGY,254.29
Whale Rock Capital Management,Cloudflare inc,NET,4368813,102580000,1.40,,34,4368813,,new,1.44,Q1 2020,INFORMATION TECHNOLOGY,23.48
Whale Rock Capital Management,Twilio inc,TWLO,931356,83347000,1.14,1.56,35,-1381,-0.15,reduction,0.67,Q2 2018,INFORMATION TECHNOLOGY,72.60
Whale Rock Capital Management,Kulicke & soffa industries inc.,KLIC,3958418,82612000,1.13,1.58,36,526019,15.33,addition,6.20,Q2 2019,INFORMATION TECHNOLOGY,24.48
Whale Rock Capital Management,Five9 inc,FIVN,1063010,81278000,1.11,0.84,37,306928,40.59,addition,1.71,Q3 2019,INFORMATION TECHNOLOGY,60.30
